x,y,u,v,p
2.07500000e+00,3.75000000e-02,2.44961112e-01,4.68978547e-04,5.19838268e-01
2.12500000e+00,3.75000000e-02,2.43895792e-01,4.48013054e-04,5.11910864e-01
2.17500000e+00,3.75000000e-02,2.42877976e-01,4.28299756e-04,5.04050812e-01
2.22500000e+00,3.75000000e-02,2.41904848e-01,4.09731750e-04,4.96255646e-01
2.27500000e+00,3.75000000e-02,2.40973821e-01,3.92214929e-04,4.88522997e-01
2.32500000e+00,3.75000000e-02,2.40082526e-01,3.75668565e-04,4.80850612e-01
2.37500000e+00,3.75000000e-02,2.39228782e-01,3.60011176e-04,4.73236310e-01
2.42500000e+00,3.75000000e-02,2.38410571e-01,3.45181695e-04,4.65678012e-01
2.47500000e+00,3.75000000e-02,2.37626030e-01,3.31116303e-04,4.58173727e-01
2.52500000e+00,3.75000000e-02,2.36873431e-01,3.17756209e-04,4.50721526e-01
2.57500000e+00,3.75000000e-02,2.36151170e-01,3.05060150e-04,4.43319588e-01
2.62500000e+00,3.75000000e-02,2.35457755e-01,2.92976741e-04,4.35966124e-01
2.67500000e+00,3.75000000e-02,2.34791786e-01,2.81471134e-04,4.28659446e-01
2.72500000e+00,3.75000000e-02,2.34151964e-01,2.70507302e-04,4.21397919e-01
2.77500000e+00,3.75000000e-02,2.33537067e-01,2.60042878e-04,4.14179964e-01
2.82500000e+00,3.75000000e-02,2.32945952e-01,2.50055955e-04,4.07004084e-01
2.87500000e+00,3.75000000e-02,2.32377548e-01,2.40512441e-04,3.99868810e-01
2.92500000e+00,3.75000000e-02,2.31830842e-01,2.31382062e-04,3.92772752e-01
2.97500000e+00,3.75000000e-02,2.31304887e-01,2.22651684e-04,3.85714554e-01
3.02500000e+00,3.75000000e-02,2.30798786e-01,2.14295692e-04,3.78692918e-01
3.07500000e+00,3.75000000e-02,2.30311691e-01,2.06291538e-04,3.71706584e-01
3.12500000e+00,3.75000000e-02,2.29842800e-01,1.98625752e-04,3.64754348e-01
3.17500000e+00,3.75000000e-02,2.29391357e-01,1.91272712e-04,3.57835045e-01
3.22500000e+00,3.75000000e-02,2.28956640e-01,1.84214604e-04,3.50947546e-01
3.27500000e+00,3.75000000e-02,2.28537972e-01,1.77444224e-04,3.44090779e-01
3.32500000e+00,3.75000000e-02,2.28134702e-01,1.70944565e-04,3.37263673e-01
3.37500000e+00,3.75000000e-02,2.27746211e-01,1.64705419e-04,3.30465242e-01
3.42500000e+00,3.75000000e-02,2.27371918e-01,1.58714128e-04,3.23694500e-01
3.47500000e+00,3.75000000e-02,2.27011263e-01,1.52951131e-04,3.16950502e-01
3.52500000e+00,3.75000000e-02,2.26663713e-01,1.47408652e-04,3.10232348e-01
3.57500000e+00,3.75000000e-02,2.26328760e-01,1.42081150e-04,3.03539149e-01
3.62500000e+00,3.75000000e-02,2.26005920e-01,1.36960268e-04,2.96870069e-01
3.67500000e+00,3.75000000e-02,2.25694733e-01,1.32034310e-04,2.90224278e-01
3.72500000e+00,3.75000000e-02,2.25394753e-01,1.27294329e-04,2.83600988e-01
3.77500000e+00,3.75000000e-02,2.25105558e-01,1.22731906e-04,2.76999435e-01
